Grid Size,Thread Count,Frame Rate
40000,2,44.82
40000,2,44.90
40000,2,44.86
40000,2,44.93
40000,2,44.89
40000,2,44.96
40000,2,44.93
40000,2,45.01
40000,2,44.95
40000,2,45.02
40000,2,45.10
40000,2,45.05
40000,2,45.12
40000,2,45.03
40000,2,45.11
40000,2,45.18
40000,2,45.13
40000,2,45.20
40000,2,45.14
40000,2,45.21
40000,2,45.29
40000,2,45.25
40000,2,45.32
40000,2,45.27
40000,2,45.35
40000,2,45.27
40000,2,45.34
40000,2,45.42
40000,2,45.38
40000,2,45.46
40000,2,45.42
40000,2,45.49
40000,2,45.44
40000,2,45.51
40000,2,45.46
40000,2,45.53
40000,2,45.46
40000,2,45.53
40000,2,45.61
40000,2,45.55
40000,2,45.62
40000,2,45.56
40000,2,45.64
40000,2,45.71
40000,2,45.64
40000,2,45.71
40000,2,45.67
40000,2,45.74
40000,2,45.70
40000,2,45.77
40000,2,45.74
40000,2,45.81
40000,2,45.77
40000,2,45.84
40000,2,45.78
40000,2,45.85
40000,2,45.93
40000,2,45.87
40000,2,45.94
40000,2,45.89
40000,2,45.96
40000,2,45.92
40000,2,45.99
40000,2,45.95
40000,2,46.02
40000,2,45.98
40000,2,46.05
40000,2,46.12
40000,2,46.07
40000,2,46.14
40000,2,46.09
40000,2,46.16
40000,2,46.11
40000,2,46.17
40000,2,46.11
40000,2,46.18
40000,2,46.25
40000,2,46.18
40000,2,46.25
40000,2,46.32
40000,2,46.27
40000,2,46.34
40000,2,46.29
40000,2,46.36
40000,2,46.32
40000,2,46.39
40000,2,46.34
40000,2,46.41
40000,2,46.36
40000,2,46.43
40000,2,46.39
40000,2,46.46
40000,2,46.41
40000,2,46.48
40000,2,46.55
40000,2,46.50
40000,2,46.57
40000,2,46.52
40000,2,46.59
40000,2,46.54
40000,2,46.61
40000,2,46.55
40000,2,46.62
40000,2,46.69
40000,2,46.63
40000,2,46.70
40000,2,46.66
40000,2,46.73
40000,2,46.67
40000,2,46.74
40000,2,46.69
40000,2,46.76
40000,2,46.83
40000,2,46.78
40000,2,46.85
40000,2,46.80
40000,2,46.86
40000,2,46.81
40000,2,46.87
40000,2,46.82
